"","GENENAME","estimate","se","p","fdr"
"A1BG","A1BG",-0.0757430936613276,0.144550363892244,0.0386207148338148,0.0421745292354952
"A2M","A2M",0.591226797981802,0.400700650397851,3.32620226795821e-05,4.62574898884292e-05
"A4GALT","A4GALT",-1.00648819559374,0.443221772803827,6.67657618268216e-07,1.05134655777835e-06
"AAAS","AAAS",-0.236247390122852,0.0382500796219924,6.24919044447237e-08,1.05404724189535e-07
"AACS","AACS",-0.252430498655183,0.0881747640744689,3.29220623121366e-06,4.94350079098477e-06
"AAGAB","AAGAB",-0.11255181684275,0.062968254915544,5.20075734528387e-05,7.12530095314386e-05
"AAK1","AAK1",0.270458650974777,0.0959839828264971,0.00260703933268167,0.00312597856118766
"AAMP","AAMP",0.11912877632185,0.0665371715092204,0.000292871318645497,0.000378630097299593
"AARS","AARS",-0.264828183054745,0.181764236626447,2.29275067755175e-09,4.26749199607482e-09
"AARS2","AARS2",-0.389942124293865,0.149544115364713,1.82668243446897e-24,7.43350462136209e-24
"AARSD1","AARSD1",-0.447146661380329,0.0582435821946875,2.43747836828835e-18,7.43740195276498e-18
"AASDH","AASDH",-0.33218714433218,0.111567571644529,4.22380577166132e-16,1.15816540198306e-15
"AASDHPPT","AASDHPPT",-0.168067303115499,0.042244775814859,0.000550779245958972,0.000697735777421205
"AASS","AASS",-1.77759093168456,0.69114831935381,2.5429431372048e-17,7.37899857682807e-17
"AATK","AATK",1.7145431745843,0.144919185311538,3.28130465977889e-41,2.65515767269532e-40
"ABAT","ABAT",0.880488735211372,0.206047992634864,2.40742155894234e-35,1.52342045805905e-34
"ABCA1","ABCA1",1.20828562445124,0.357044624877843,3.97108051358303e-29,1.94999056737536e-28
"ABCA10","ABCA10",0.269983637444405,0.0998740704773051,0.150157826882851,0.157252209518439
"ABCA13","ABCA13",-0.765070584771302,0.550560941438839,2.01194162527906e-07,3.28011795174588e-07
"ABCA2","ABCA2",-1.03058230702067,0.178393198458693,9.14839985480216e-46,8.74645811017752e-45
"ABCA3","ABCA3",0.178355078422756,0.103748784213641,0.499851436382863,0.506360140192785
"ABCA5","ABCA5",0.215381106043509,0.0985418274998691,0.00838323609523383,0.00966259893885623
"ABCA6","ABCA6",0.869683799603634,0.326831401905667,3.68044408085375e-08,6.30426333204809e-08
"ABCA7","ABCA7",0.653963736784261,0.120988550512148,2.6028365248639e-20,8.69779987519793e-20
"ABCA9","ABCA9",-0.0177772843505775,0.254822792631832,0.020828191159706,0.023237225548222
"ABCB1","ABCB1",-0.37322502877461,0.224695230163759,0.0113480688757846,0.012924702308723
"ABCB10","ABCB10",0.309829106700484,0.090122913742734,1.02035171519005e-06,1.58492058800825e-06
"ABCB4","ABCB4",1.49731821737661,0.191286631821472,7.6812529170106e-28,3.5868949969077e-27
"ABCB6","ABCB6",0.129639899153226,0.194935408920599,0.0191999027441411,0.0214830271069291
"ABCB7","ABCB7",-0.32524152916865,0.0538528788058434,4.74247329675898e-18,1.4258565206194e-17
"ABCB8","ABCB8",-0.0770801738304183,0.052054832566316,0.143647477832361,0.150619796391701
"ABCB9","ABCB9",-0.445963449548052,0.0554308075459159,2.13365271423375e-24,8.65015948825759e-24
"ABCC1","ABCC1",-0.929818028371829,0.129949511772827,6.01098364448186e-37,4.08150247120751e-36
"ABCC10","ABCC10",0.231955488051845,0.0657294692513341,2.06128335968109e-05,2.9149882179261e-05
"ABCC2","ABCC2",-0.363393037931457,0.155757874457485,7.32053167783861e-05,9.90297631109365e-05
"ABCC3","ABCC3",2.50152027401375,0.162095675129757,7.49880398217435e-51,8.47656826209129e-50
"ABCC4","ABCC4",-0.689697565399113,0.175760989281755,1.11708074140019e-12,2.5404302760578e-12
"ABCC5","ABCC5",-0.10993577423555,0.138730296419543,0.000747576086857693,0.000937660501777358
"ABCC6","ABCC6",-0.146204691842715,0.205721775537461,0.00176849681100996,0.00214975669336719
"ABCD1","ABCD1",1.44835721174482,0.134851993880982,1.15977823485275e-102,6.90242016472615e-101
"ABCD2","ABCD2",1.33024148606742,0.156424240670691,1.21981857677403e-17,3.60106659705884e-17
"ABCD3","ABCD3",0.383645631195297,0.0709127785678137,2.69294391726796e-11,5.67229011630517e-11
"ABCD4","ABCD4",-0.544465446190702,0.067345102593719,5.36991065508771e-40,4.15321939749896e-39
"ABCE1","ABCE1",-0.533757310172012,0.101658914447695,7.97369592273095e-29,3.87075459087547e-28
"ABCF1","ABCF1",0.223197937903861,0.102397197822095,5.47918395527542e-06,8.07162458163902e-06
"ABCF2","ABCF2",-0.096032719456754,0.131652745753392,1.06175239897829e-05,1.52984369991994e-05
"ABCF3","ABCF3",0.247340229617311,0.106009511164919,2.11728630765504e-15,5.60170236052856e-15
"ABCG1","ABCG1",-0.476415657560266,0.266571925440464,8.80067669758802e-05,0.000118353242267981
"ABHD1","ABHD1",0.203321436693723,0.131678841155829,0.000437893385794369,0.000559493878393127
"ABHD10","ABHD10",-0.336160978755763,0.096350938512967,7.89376318963884e-13,1.80830375762647e-12
"ABHD11","ABHD11",0.599858016968791,0.0914500686174467,5.29088758601578e-27,2.39549010788687e-26
"ABHD12","ABHD12",0.254171988368318,0.071236866093055,1.62508038654163e-07,2.6654722117962e-07
"ABHD12B","ABHD12B",0.0478286110852194,0.227487521560411,7.34861345065592e-05,9.93983476172244e-05
"ABHD13","ABHD13",0.251704058267211,0.111243900174859,4.85783635205231e-12,1.06487709205301e-11
"ABHD14A","ABHD14A",-0.297322571401164,0.0564390547293414,1.5639936684208e-05,2.23189265498295e-05
"ABHD14B","ABHD14B",-0.0183003198911766,0.046082106552082,0.816895074646933,0.819718603399295
"ABHD15","ABHD15",0.220438011942161,0.0917159805900321,4.13003672319899e-05,5.69638784660922e-05
"ABHD2","ABHD2",-0.134237563815401,0.144571443102418,6.50822128166489e-05,8.85138915855316e-05
"ABHD3","ABHD3",0.397050982807262,0.124904865155651,2.57672926477725e-13,6.07703753490065e-13
"ABHD4","ABHD4",-0.541547852999697,0.125828687266047,3.16276447245321e-14,7.84136336505114e-14
"ABHD5","ABHD5",0.613157233374112,0.145746396119987,4.71788129454555e-19,1.48563336108401e-18
"ABHD6","ABHD6",1.30380490527134,0.254680062541168,7.16489119323403e-48,7.35838652916865e-47
"ABHD8","ABHD8",0.465386783545372,0.085420315441479,1.46912990947072e-14,3.71353860956254e-14
"ABI1","ABI1",0.139055827856992,0.109677898409909,6.44694790316712e-10,1.24689771748365e-09
"ABI2","ABI2",-1.3066276290685,0.0646426563907098,2.02657498581504e-87,7.80657671720274e-86
"ABI3","ABI3",2.77828495954635,0.255457027914068,1.54839626966222e-90,6.37735667743579e-89
"ABL1","ABL1",-0.464804022378869,0.111417937670932,1.22774478122638e-34,7.50197439986528e-34
"ABL2","ABL2",-0.405189643145691,0.0786277736717215,1.77431548654823e-20,5.97952356636002e-20
"ABLIM1","ABLIM1",-0.200520624679962,0.136677299539402,0.600027264229749,0.605316088323307
"ABLIM3","ABLIM3",2.09705447963144,0.415685442549451,3.08472685410817e-23,1.17986837225095e-22
"ABR","ABR",0.876014424257325,0.0692973561687548,2.73030885065417e-52,3.26293837844745e-51
"ABT1","ABT1",0.0624384392686135,0.0844937245274267,0.000285017737047028,0.000368757187398998
"ABTB1","ABTB1",0.637769205873098,0.122745738979574,1.84874255853345e-20,6.22556163761002e-20
"ABTB2","ABTB2",-0.902224914815101,0.31765726249041,2.78433950816449e-11,5.85754562843442e-11
"ACAA1","ACAA1",0.470169200220177,0.0652233163887386,2.03790278728736e-24,8.26760629757377e-24
"ACAA2","ACAA2",0.402341010060614,0.051506535237716,1.2787201955674e-12,2.90303385234385e-12
"ACACB","ACACB",0.00522460396931327,0.118492968356906,0.168415953355608,0.175631250463624
"ACAD10","ACAD10",-0.344426089154491,0.065564039405255,2.58747990475313e-18,7.87893919321477e-18
"ACAD11","ACAD11",-0.726698708958864,0.0748550906779842,4.36739148558833e-29,2.14106510926515e-28
"ACAD8","ACAD8",-0.0767064005580597,0.0468671811901397,0.0238462959445677,0.0264877249559713
"ACAD9","ACAD9",-0.0244333037621222,0.0908830107622876,0.00274068968422102,0.00328028449585548
"ACADM","ACADM",-0.28328471470402,0.122257116882728,1.99255012113383e-08,3.48016494377931e-08
"ACADS","ACADS",0.0609350766788243,0.0681003869031915,0.241011330726157,0.24874342058731
"ACADSB","ACADSB",-0.282683085500003,0.0762783916981547,1.50991471939536e-09,2.84555334150775e-09
"ACADVL","ACADVL",0.348754097128378,0.0476505632914737,1.61581498259337e-14,4.07825397324191e-14
"ACAP1","ACAP1",-0.251623694220363,0.104069100283905,1.23531372117699e-06,1.90786807099646e-06
"ACAP2","ACAP2",0.356188803234192,0.0624316804200092,2.84406976149783e-16,7.86546523492303e-16
"ACAP3","ACAP3",0.147319941533348,0.0592738858678097,0.0588025692917485,0.0633131598624769
"ACAT1","ACAT1",0.728422415633962,0.148000491828777,3.81688593966719e-17,1.10032437248386e-16
"ACAT2","ACAT2",-0.235657883843995,0.100364360255835,5.8616019081036e-09,1.06050535814192e-08
"ACBD3","ACBD3",0.201335165003677,0.158190905118451,3.378655020808e-14,8.36964218786214e-14
"ACBD4","ACBD4",-0.0720232769602896,0.11149847324744,0.00591472239407869,0.00689143898362555
"ACBD5","ACBD5",0.300093000997555,0.0836099115331425,1.74202453831968e-13,4.14706361592383e-13
"ACCS","ACCS",-0.413645234080634,0.121761090222484,9.46418008146246e-06,1.36908277340082e-05
"ACD","ACD",-0.242885323999472,0.0639284889381848,5.91091554090036e-08,9.97980534515419e-08
"ACE","ACE",1.77609054575038,0.34520528795083,1.28214675460006e-34,7.82635529231001e-34
"ACER2","ACER2",-0.277636008023825,0.167103421459892,0.000979957276122718,0.00121758157178379
"ACER3","ACER3",0.894242033452416,0.103229151338272,6.08269036592255e-71,1.43370818664507e-69
"ACHE","ACHE",0.604744023354921,0.364902624170369,0.00430084973904691,0.00505859826520507
"ACIN1","ACIN1",-0.248870025458614,0.0510130246712962,2.76282947645353e-16,7.64967649644718e-16
"ACLY","ACLY",-0.0228402541276871,0.120318005361699,5.48575943866794e-07,8.68657637334901e-07
"ACN9","ACN9",-0.0671227540838845,0.110885723613665,0.0248752865406424,0.0275869314910339
"ACO1","ACO1",-0.414752266609504,0.125432067625041,7.34818209521786e-24,2.9077596901389e-23
"ACO2","ACO2",0.307635053965816,0.0896003318484269,2.06175764813365e-15,5.45721620763505e-15
"ACOT11","ACOT11",-0.617384978890216,0.154699834971758,1.3852898315479e-12,3.13898817150479e-12
"ACOT13","ACOT13",-0.330312801501016,0.14751940518856,1.5202741843357e-17,4.45929611043563e-17
"ACOT2","ACOT2",-0.20289289436538,0.15101072068885,0.000350821451734416,0.000450661314482491
"ACOT4","ACOT4",-0.305500331007746,0.172356029327057,0.0307801796937923,0.0338673025416167
"ACOT7","ACOT7",-0.400334761216426,0.178029114466246,8.18622015898837e-08,1.3704722721862e-07
"ACOT8","ACOT8",0.328475283840371,0.100433908440353,1.60200387652152e-15,4.26305659339049e-15
"ACOT9","ACOT9",0.734948692911149,0.104523016021956,2.67076180655382e-62,4.57411191128203e-61
"ACOX1","ACOX1",0.110679235512114,0.0866391673429474,6.68878700925755e-05,9.08347196476812e-05
"ACOX2","ACOX2",1.95985961852647,0.289065024254318,3.61432089071432e-24,1.4509700358237e-23
"ACOX3","ACOX3",0.00710783683978024,0.0739882511611734,0.0985242751186653,0.104428712977513
"ACP1","ACP1",-0.312728543996603,0.0846953228182169,2.75672195180723e-19,8.77125404767749e-19
"ACP2","ACP2",0.684326020742529,0.108386608667957,1.93409227414395e-24,7.85448663907725e-24
"ACP5","ACP5",1.02465969643939,0.259090563323095,2.53626201245649e-16,7.03873320920253e-16
"ACP6","ACP6",-1.07975781495967,0.139271437756987,6.86087442187276e-37,4.64005615020179e-36
"ACPL2","ACPL2",0.428531131296472,0.192221619810976,7.52139024661273e-08,1.26272366862385e-07
"ACPP","ACPP",1.68121147622284,0.143780066737849,4.20325325119972e-78,1.26023484758263e-76
"ACRBP","ACRBP",0.258796503112401,0.126753021768763,0.000147489745149565,0.000194760421179862
"ACRC","ACRC",0.004862941588579,0.114501048697136,0.170241118514242,0.177449810296613
"ACSBG1","ACSBG1",-0.218187266869508,0.231217788295064,7.99104031685404e-06,1.16209349898001e-05
"ACSF2","ACSF2",0.0627160661184184,0.10083592014191,0.10295773435233,0.109011378046236
"ACSF3","ACSF3",-0.223317588327879,0.0778959350081034,5.6272208292611e-13,1.30388961515855e-12
"ACSL1","ACSL1",1.93616365075507,0.106439316641969,6.6337415084467e-102,3.88972537808084e-100
"ACSL3","ACSL3",0.341664296797653,0.156121851348116,8.53570877207068e-21,2.91369491006473e-20
"ACSL4","ACSL4",0.684821851314828,0.0590790863580576,4.41773273638982e-34,2.64375428663892e-33
"ACSL5","ACSL5",-0.00533667200981472,0.145422280472062,2.03681850887419e-05,2.88210303270679e-05
"ACSL6","ACSL6",0.535690783105371,0.348623273710552,5.6481145252823e-05,7.71865754241506e-05
"ACSM1","ACSM1",-2.20626732220195,0.389413111187319,3.00261735557665e-36,1.98556413241272e-35
"ACSM3","ACSM3",-1.68071307308908,0.145759604337028,1.23432799950436e-61,2.07810554145691e-60
"ACSS1","ACSS1",-0.566618276127951,0.103060235341242,1.42876548925067e-40,1.12850667674524e-39
"ACSS2","ACSS2",0.601731450285529,0.132841257248274,4.41720004488688e-29,2.16459168934905e-28
"ACTA2","ACTA2",0.0955946450077887,0.190994940012755,0.00402514093490017,0.0047498019776065
"ACTB","ACTB",1.26413247168888,0.125523090186831,1.08161569603167e-101,6.24974350964317e-100
"ACTG1","ACTG1",0.117980270758012,0.0731254682526751,0.00283199293477782,0.00338445902637152
"ACTL6A","ACTL6A",-0.285737754051528,0.119801662493493,1.56092808674904e-08,2.7432049337921e-08
"ACTN1","ACTN1",0.150230956910132,0.192907220614444,1.15721336791054e-08,2.0503588446322e-08
"ACTN4","ACTN4",-0.051996334064577,0.0708274420449848,0.00348269543797592,0.00413058228360177
"ACTR10","ACTR10",-0.00581548354296344,0.027536357124402,0.621899300816663,0.627008925768316
"ACTR1A","ACTR1A",0.288716154219996,0.0838481415105912,1.19364537155468e-18,3.68559295917389e-18
"ACTR1B","ACTR1B",-0.27105314165715,0.108468943536531,2.02436823506954e-10,4.03957336161487e-10
"ACTR2","ACTR2",0.619628503452293,0.0920534878218666,7.61948759118642e-32,4.17179212501803e-31
"ACTR3","ACTR3",0.662549439703407,0.0741495621572283,2.46687844145646e-78,7.45260256057266e-77
"ACTR3B","ACTR3B",-0.488260418137509,0.117966057420073,1.46353101104993e-19,4.72097821802908e-19
"ACTR5","ACTR5",-0.385891145041801,0.0641046931713558,2.94841110479681e-17,8.52232573589034e-17
"ACTR6","ACTR6",-0.314199481566299,0.0780614527303335,1.46900863011204e-16,4.12883346498786e-16
"ACTR8","ACTR8",-0.224700240481964,0.0838124151958876,4.80192188896005e-11,9.95424525327264e-11
"ACVR1","ACVR1",-0.257782624076945,0.0613030528510535,0.00066707538816383,0.000840232629133764
"ACVR1B","ACVR1B",0.970867463930271,0.114234187871517,1.39950683931144e-30,7.28073859629547e-30
"ACVR2A","ACVR2A",1.01920485991746,0.260061841343105,4.81150844494339e-34,2.87362694531667e-33
"ACVR2B","ACVR2B",-1.47806282930754,0.276337498665006,1.46921401829428e-26,6.50597264127857e-26
"ACVRL1","ACVRL1",2.70528067369621,0.410234854018108,1.26479465558479e-57,1.84495720409629e-56
"ACY1","ACY1",-0.345258207743768,0.117432142444466,3.83908721759665e-06,5.72998810671509e-06
"ACY3","ACY3",-0.126945467077586,0.202564929542591,0.866370984534203,0.868560079921723
"ACYP1","ACYP1",-0.548093293137007,0.165345870056715,1.32161519484892e-23,5.15101036813578e-23
"ACYP2","ACYP2",-0.14380348318194,0.102087923967517,9.30434865871886e-07,1.44922352898103e-06
"ADA","ADA",-1.48437429935357,0.141699697078298,4.33716350522407e-43,3.78207012473862e-42
"ADAL","ADAL",-0.675590802165342,0.0841808158610415,9.69022952367179e-36,6.23474605514948e-35
"ADAM10","ADAM10",0.779479954265465,0.125456608157817,8.58796713152723e-53,1.04951306741857e-51
"ADAM11","ADAM11",-0.725920521584106,0.201536606845559,3.62649869722456e-12,8.00560348536051e-12
"ADAM15","ADAM15",0.654693875798205,0.117190622202495,1.48800939348193e-16,4.1792769727738e-16
"ADAM17","ADAM17",0.257340658354045,0.116601675937312,1.41496969913689e-07,2.33274021174881e-07
"ADAM19","ADAM19",1.33587828670459,0.284959739394845,4.31102727749683e-34,2.58119505452942e-33
"ADAM22","ADAM22",-1.39840735956885,0.115689662969207,5.19581001055083e-38,3.70555581519392e-37
"ADAM23","ADAM23",1.57655678428885,0.529406229779398,5.77854847169451e-20,1.90321146814e-19
"ADAM28","ADAM28",-0.629893912379213,0.137802252568727,8.59212199828771e-14,2.07574646124657e-13
"ADAM8","ADAM8",1.39039128268349,0.120490199543782,7.37645117624666e-31,3.88160470162971e-30
"ADAM9","ADAM9",1.82901587529034,0.181739040789938,7.82473622289164e-67,1.56797702459729e-65
"ADAMDEC1","ADAMDEC1",1.41399397847446,0.365469279725227,7.56417310237262e-19,2.35450712441269e-18
"ADAMTS1","ADAMTS1",-2.64738223540575,0.558530370989445,2.78379703397967e-28,1.31804041748051e-27
"ADAMTS10","ADAMTS10",0.542095105480357,0.204478950601199,9.69720427294229e-05,0.000129984034302739
"ADAMTS13","ADAMTS13",-0.829631442451632,0.193880798615127,4.94476874611754e-21,1.70700644968205e-20
"ADAMTS14","ADAMTS14",-2.8562745314377,0.300948371506507,4.3139510118647e-60,6.81925084916674e-59
"ADAMTS2","ADAMTS2",4.3029239591554,0.411564291079297,6.39697844891345e-68,1.35970061566816e-66
"ADAMTS3","ADAMTS3",-1.35046075830688,0.424898803351537,1.45231161730527e-06,2.23402238056147e-06
"ADAMTS5","ADAMTS5",1.99398526106731,0.289406614531407,4.26184861512866e-25,1.78685396498332e-24
"ADAMTS6","ADAMTS6",0.239392705500018,0.26314218046929,9.39972776492057e-05,0.000126138624110315
"ADAMTS7","ADAMTS7",-2.41499063810219,0.441018894900773,1.14673305811158e-29,5.75930953194184e-29
"ADAMTSL4","ADAMTSL4",0.761006299666244,0.238646435667134,2.53958660785714e-10,5.03140802152523e-10
"ADAMTSL5","ADAMTSL5",0.8328031415547,0.381284034027702,1.73030084229148e-09,3.24854431006238e-09
"ADAP1","ADAP1",1.8941698627013,0.103485026418905,6.90926792046808e-107,4.67278500325748e-105
"ADAP2","ADAP2",3.38507516167187,0.245364908184985,1.95014247800333e-177,4.64250918313472e-174
"ADAR","ADAR",0.173996970972008,0.0381612203726795,0.000164698693739389,0.000216643667983197
"ADARB1","ADARB1",-0.620960328759792,0.0761089348453925,8.42341592771111e-25,3.49229953979607e-24
"ADAT1","ADAT1",-0.140434581474934,0.0518850410223781,0.000869691702152395,0.00108431343151984
"ADAT2","ADAT2",-0.565529915408612,0.0948063457192617,2.44148448227529e-14,6.09628483165991e-14
"ADAT3","ADAT3",0.241737494508474,0.0833145451863902,0.00814422116249933,0.0093934752419796
"ADC","ADC",-1.08273692897711,0.214754440310091,3.97465785077634e-11,8.28262471950119e-11
"ADCK1","ADCK1",0.0249962791265096,0.103227164084413,0.0185706760240658,0.0208083174917119
"ADCK2","ADCK2",0.423511816074623,0.10073488950281,8.09772488157817e-14,1.96068387439839e-13
"ADCK3","ADCK3",-0.244076172814981,0.126121725649357,2.33452884127668e-10,4.63827354326761e-10
"ADCK4","ADCK4",-0.270079392240544,0.0525479578088703,1.88186171144119e-10,3.76277506320922e-10
"ADCK5","ADCK5",0.423124397276979,0.0668687573413779,5.22060581941128e-09,9.48136574129577e-09
"ADCY2","ADCY2",-1.69700387437425,0.322200075309331,1.74020637983548e-14,4.38477488128319e-14
"ADCY3","ADCY3",0.150643719383189,0.282432547611273,4.36263795386524e-06,6.47729569226119e-06
"ADCY4","ADCY4",0.656356554309927,0.138426650329042,3.25714074076027e-11,6.82445805972004e-11
"ADCY6","ADCY6",-2.08247813403434,0.192266210528068,1.30791653097528e-51,1.51316990338538e-50
"ADCY7","ADCY7",1.0224816549781,0.119346002158766,5.04314339140962e-52,5.97391174761913e-51
"ADCY9","ADCY9",1.60443035516974,0.113122701651052,7.76466679118539e-43,6.72166027748943e-42
"ADD1","ADD1",-0.000727760046978822,0.0563901681678765,0.0639340053888647,0.0686581077358045
"ADD2","ADD2",0.0122558477404498,0.22474566766411,0.336405656509784,0.343977023403141
"ADD3","ADD3",0.927330917247233,0.0675288540770241,7.24159786781409e-41,5.76952740432337e-40
"ADH5","ADH5",-0.2135721197294,0.0315258432616861,2.23699613998135e-09,4.16759002287206e-09
"ADHFE1","ADHFE1",-0.335512384242235,0.0815398615789521,0.00265539550772876,0.00318171660242555
"ADI1","ADI1",0.260917741590683,0.056987541624638,1.12676212310544e-08,1.99818974244995e-08
"ADIPOR1","ADIPOR1",0.683660789896472,0.116066749774393,3.62653687506904e-45,3.39895026960211e-44
"ADIPOR2","ADIPOR2",0.154702324028971,0.0996388063453238,1.69526214276729e-06,2.59566571718022e-06
"ADK","ADK",-0.174932294391143,0.0597266920385297,0.0186304853028592,0.0208733684638491
"ADM","ADM",2.82812678281863,0.276147567959306,3.40101569324851e-46,3.31278967240074e-45
"ADM2","ADM2",-1.06599902203612,0.4911592432698,7.2655019253551e-20,2.38109221964487e-19
"ADNP","ADNP",-0.258633964754517,0.15048782157316,1.32928462506614e-21,4.71468262579327e-21
"ADNP2","ADNP2",-0.0796995472878975,0.317129621847064,3.28158250477476e-15,8.57534062663754e-15
"ADO","ADO",0.0477284729152305,0.0839556220865604,0.00274407307722766,0.00328400380436767
"ADORA2A","ADORA2A",1.24848679972147,0.34906246325647,3.61999288518066e-30,1.84140065437203e-29
"ADORA2B","ADORA2B",0.983293744194262,0.263672085837245,4.38922103134595e-21,1.51742369840578e-20
"ADORA3","ADORA3",1.23580076271924,0.267712196965454,8.93171599726327e-25,3.69788575705825e-24
"ADPGK","ADPGK",0.307641081501605,0.0583748858419896,1.03949359114248e-33,6.14964821837423e-33
"ADPRH","ADPRH",0.95033474214288,0.0933274479049804,1.2315805656601e-24,5.05674490274306e-24
"ADPRHL1","ADPRHL1",-0.649321652464745,0.103831046398108,1.76262114835616e-08,3.08899875278023e-08
"ADPRHL2","ADPRHL2",0.0554916191018585,0.0391072009750338,0.590016032619723,0.595367992223852
"ADRA2A","ADRA2A",-0.472459515954656,0.194669874772553,0.140569703886609,0.147457582212242
"ADRB1","ADRB1",-0.77336762370233,0.155088195949312,3.18547745240253e-05,4.43833994099816e-05
"ADRB2","ADRB2",0.199828789930299,0.117461626287585,0.1344857308921,0.141262235687316
"ADRBK1","ADRBK1",0.763323478523047,0.0503798079581505,9.47365402027559e-52,1.10445547309834e-50
"ADRBK2","ADRBK2",1.22609297321368,0.151912662537446,1.31132245366034e-79,4.09676408554304e-78
"ADRM1","ADRM1",0.286695496661637,0.0483233675289139,1.21437090685995e-08,2.15003077559929e-08
"ADSL","ADSL",-0.226259905421042,0.0759244754824972,3.47251780677648e-10,6.82632195773088e-10
"ADSS","ADSS",0.0224693250217164,0.104833358438681,0.00213901878456801,0.00258353532143207
"ADSSL1","ADSSL1",0.939180621907449,0.0877612616947052,5.62929652577457e-24,2.23426197220056e-23
"AEBP1","AEBP1",-2.15784681391248,0.343559702351886,3.98700354006032e-46,3.86775086693871e-45
"AEBP2","AEBP2",-0.210160460386834,0.10784161414098,3.29176556099587e-09,6.06624639611919e-09
"AEN","AEN",-0.0143898361268245,0.0874468200892453,0.270886181730989,0.278730828245502
"AES","AES",0.0873937435932462,0.0816152713508375,0.0100800615524047,0.0115357150906906
"AFAP1","AFAP1",1.0055980147742,0.222075529220585,6.84881750504806e-22,2.46139718486072e-21
"AFAP1L2","AFAP1L2",-0.914967160756288,0.42756223048248,7.5345694477282e-19,2.34590583668085e-18
"AFF1","AFF1",-0.560799232122369,0.157641608673284,2.17480216424015e-29,1.07771316240427e-28
"AFF2","AFF2",-0.415850012663232,0.394777589578729,1.08385396757475e-06,1.68092687635729e-06
"AFF3","AFF3",0.603913892259823,0.149038363753834,9.28862043960472e-06,1.3448783492594e-05
"AFF4","AFF4",0.0271083022791581,0.213789834400221,8.67278725020883e-10,1.66235405216161e-09
"AFG3L2","AFG3L2",-0.102692727549018,0.112473086744516,1.05364529913342e-06,1.63556859619002e-06
"AFMID","AFMID",-0.780130022716115,0.117134421999083,2.50319640132922e-57,3.61596441323078e-56
"AFTPH","AFTPH",0.253978668058411,0.0542428085325231,1.76943071617519e-08,3.10047605102801e-08
"AGA","AGA",0.314658671508976,0.0472558495747646,1.01159165466343e-11,2.17778539798496e-11
"AGAP1","AGAP1",-0.265027718659274,0.115589326004292,0.037212080843304,0.0406847982252088
"AGAP2","AGAP2",-0.381424545308253,0.226549058130724,1.86176552331458e-12,4.18756519728146e-12
"AGAP3","AGAP3",0.68868599851494,0.0982587476829545,4.48206085010392e-14,1.10272778625025e-13
"AGAP4","AGAP4",-0.45356199189561,0.0742306101375917,1.25606044783796e-07,2.0759355055006e-07
"AGAP6","AGAP6",-0.254329027146743,0.0536537843108688,0.000170537383390147,0.000224076219725458
"AGBL2","AGBL2",-0.7367842553517,0.131825451086796,2.98521731859464e-14,7.41198200734919e-14
"AGBL3","AGBL3",-0.91942084429045,0.0851762028992553,8.07267203256296e-29,3.91560779150762e-28
"AGBL5","AGBL5",-0.509277577791337,0.214945605409019,9.38315487387581e-43,8.09918001912573e-42
"AGER","AGER",0.424018355215576,0.141266099186745,1.02375103673331e-06,1.58999329204548e-06
"AGFG1","AGFG1",1.17216906570773,0.164093297879617,1.77885310200903e-101,1.01796579198142e-99
"AGFG2","AGFG2",-0.363672225215876,0.184127030443882,5.73472671760376e-14,1.40193986690568e-13
"AGGF1","AGGF1",-0.0963747936291319,0.0673860830377462,0.00271153013097047,0.00324636322157931
"AGK","AGK",-0.299705864494369,0.078489171687484,1.8488919086744e-20,6.22556163761002e-20
"AGL","AGL",-0.346718796602699,0.1105519946917,6.35467107082187e-15,1.63509835183728e-14
"AGMAT","AGMAT",-0.0667112570704652,0.150741147602029,0.139057766952328,0.145910137520588
"AGPAT1","AGPAT1",-0.0220109971631082,0.0491283550606318,0.946579988202725,0.947774360664286
"AGPAT2","AGPAT2",0.360893150891596,0.0529201199693089,4.71140415495326e-10,9.18739247319932e-10
"AGPAT3","AGPAT3",0.976633538260029,0.108123723553282,4.12508124800087e-52,4.91008420949543e-51
"AGPAT4","AGPAT4",-0.275014335851785,0.129275374707664,0.00430169502149085,0.00505909256405549
"AGPAT5","AGPAT5",-0.742262225178522,0.159166902468542,1.09766866994889e-31,5.96873009520402e-31
"AGPAT6","AGPAT6",0.423096760287398,0.0719339424562641,3.08900007216964e-26,1.3512814354662e-25
"AGPAT9","AGPAT9",0.419279541721217,0.246413154066844,0.00281492771980082,0.0033650783015757
"AGPS","AGPS",-0.0593149860533686,0.0980555863462585,3.23050561828461e-05,4.49581531327508e-05
"AGRN","AGRN",-0.140661231809158,0.167683578828983,0.0280199989250986,0.0309389654179451
"AGT","AGT",3.73139272562594,0.685960565091767,3.73052125995055e-40,2.89279443369325e-39
"AGTPBP1","AGTPBP1",1.33537480678777,0.0683416514602294,2.12396780280911e-81,6.88871628251685e-80
"AGTRAP","AGTRAP",2.27216553910056,0.207047328388269,9.73952648870715e-115,8.98678944147917e-113
"AGXT","AGXT",-1.07433203417453,0.266960929307861,0.00133668095266745,0.00164009002985266
"AHCTF1","AHCTF1",0.133133978027625,0.200019524656573,3.04603958372226e-09,5.62472993562613e-09
"AHCY","AHCY",-0.323422231307023,0.115571619956725,7.80534639854242e-09,1.3987810626596e-08
