"","GENENAME","estimate","se","p","fdr"
"PRKCI","PRKCI",-0.649403202762341,0.0777237446228949,2.31793742095557e-48,2.40964271804665e-47
"PRKCQ","PRKCQ",-0.947239847861663,0.105376630759061,1.0565257326315e-26,4.70300141941387e-26
"PRKCSH","PRKCSH",0.0274871657111994,0.0611021152278127,0.0402709249821727,0.0439201777590985
"PRKCZ","PRKCZ",-0.463832663756591,0.0846682904246602,2.58186894797064e-06,3.9059463761686e-06
"PRKD2","PRKD2",0.199706962674293,0.109116038347207,6.52563320156467e-05,8.87101553200369e-05
"PRKD3","PRKD3",-0.612150995385644,0.216324608730122,3.77795187624014e-09,6.92256175844926e-09
"PRKDC","PRKDC",-0.407047728169425,0.198793971659489,2.24326699527564e-15,5.92578940185663e-15
"PRKG2","PRKG2",-0.0787133645124989,0.217123405654958,0.22490151025382,0.232540190805353
"PRKRA","PRKRA",-0.476173518765526,0.162910733879984,2.06207207218705e-36,1.37198680129919e-35
"PRKRIP1","PRKRIP1",-0.119869340391194,0.0991105003042763,4.5431617161641e-05,6.24665056110677e-05
"PRKRIR","PRKRIR",0.0229644556475063,0.123709676247042,4.31944016695654e-07,6.88000753476297e-07
"PRKX","PRKX",0.123950609164937,0.0813894696029772,0.0381308071282332,0.0416548272069897
"PRLR","PRLR",4.45594949164689,0.650346912042286,1.03211933793606e-83,3.56096129839217e-82
"PRMT1","PRMT1",-0.418878562244806,0.132253112711124,3.75113165619525e-22,1.36418332122493e-21
"PRMT10","PRMT10",-0.239663905374159,0.134422793695843,5.24533523842832e-14,1.28599846226596e-13
"PRMT2","PRMT2",0.0269448377206405,0.0960734279178163,0.00733506005769974,0.00849146273748299
"PRMT3","PRMT3",-0.368546681015102,0.0766173133570748,2.75362448240798e-16,7.62596375386277e-16
"PRMT5","PRMT5",-0.691096125727776,0.160802880568435,6.76145763275517e-46,6.5061948425776e-45
"PRMT6","PRMT6",-0.45948442826702,0.126035033546162,2.4442003726135e-19,7.79772635626335e-19
"PRMT7","PRMT7",-0.432560879876562,0.0706400282070694,2.38772618536299e-21,8.35669061581172e-21
"PRNP","PRNP",1.15354977798281,0.151490158670877,2.98832733146151e-74,7.76638869571754e-73
"PROC","PROC",-1.82146345585031,0.532862799794916,4.82745901653298e-29,2.35690093001608e-28
"PROCA1","PROCA1",-0.333188928273227,0.0843604182969653,8.27292304562875e-08,1.38440324774524e-07
"PROCR","PROCR",-0.57800334693109,0.1448264575278,1.77906216790536e-08,3.11643517065158e-08
"PRODH","PRODH",-0.783986589883863,0.183588167001567,0.000720938578143755,0.000905203786460456
"PROK2","PROK2",-0.108167939560491,0.218877182772118,0.108322639706176,0.114518552306832
"PROM1","PROM1",-0.237181572131849,0.318053546925372,0.262024938555396,0.269776216903804
"PROS1","PROS1",0.497808068189625,0.135664722289793,0.0056529386789454,0.00659546452612107
"PROSC","PROSC",0.479166090120937,0.103086562129531,1.02440051500391e-22,3.82359339294184e-22
"PROX2","PROX2",-0.278615659032182,0.0827814064717681,0.0330590675871245,0.0362775035945002
"PRPF18","PRPF18",0.181018563389813,0.0660184257084202,8.81937157338948e-09,1.57410376125439e-08
"PRPF19","PRPF19",-0.267094796668628,0.0542888656598294,4.39343275424064e-12,9.65209119116395e-12
"PRPF3","PRPF3",0.11250296428719,0.0969368259976024,2.57960980528068e-06,3.90302472508656e-06
"PRPF31","PRPF31",-0.0540971725103596,0.0288850409904394,0.223635542379716,0.231311597231991
"PRPF38A","PRPF38A",-0.195716369177503,0.0763001747422198,2.51965239130733e-16,6.99589979326595e-16
"PRPF38B","PRPF38B",0.00386395758634339,0.0532038240384198,0.306240221823187,0.313914688284654
